filename,style,subcategory,caption,primary_color,secondary_color,path
img516.jpg,bandhani,bandhani,"white and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(227, 244, 248)","(174, 203, 210)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img516.jpg
img254.jpg,bandhani,bandhani,"orange and pink bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(234, 179, 91)","(180, 159, 121)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img254.jpg
img263.jpg,bandhani,bandhani,"indigo and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(205, 60, 108)","(155, 72, 98)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img263.jpg
img403.jpg,bandhani,bandhani,"multicolored and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(35, 56, 64)","(111, 128, 125)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img403.jpg
img224.jpg,bandhani,bandhani,"multicolored and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(32, 62, 126)","(164, 179, 201)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img224.jpg
img514.jpg,bandhani,bandhani,"orange and brown bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(213, 168, 81)","(133, 81, 44)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img514.jpg
img170.jpg,bandhani,bandhani,"white and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(225, 216, 223)","(195, 170, 187)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img170.jpg
img212.jpg,bandhani,bandhani,"pink and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(152, 101, 125)","(194, 139, 166)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img212.jpg
img280.jpg,bandhani,bandhani,"indigo and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(206, 92, 150)","(109, 56, 92)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img280.jpg
img77.jpg,bandhani,bandhani,"multicolored and multicolored bandhani textile pattern with circular tie-dye dots, traditional Indian resist-dyeing technique, seamless repeating tile, high quality, intricate dotted design","(32, 51, 66)","(124, 130, 121)",/kaggle/input/updated-dataset/Dataset Cleaned/bandhani/img77.jpg
